Drug name	STITCH ID	Phase	Drug status	Smiles	Level 1 ATC Codes
N1-methylnicotinamide	CIDs00000457	Phase 2	unapproved	C[n+]1cccc(C(N)=O)c1	
guaiacol	CIDs00000460	Phase 3	unapproved	COc1ccccc1O	
malate	CIDs00000525	Phase 4	approved	O=C(O)CC(O)C(=O)O	
EACA	CIDs00000564	Phase 4	approved	NCCCCCC(=O)O	B - BLOOD AND BLOOD FORMING ORGANS
creatine	CIDs00000586	Phase 3	unapproved	CN(CC(=O)O)C(=N)N	
creatinine	CIDs00000588	Phase 3	unapproved	CN1CC(=O)N=C1N	
cytosine	CIDs00000597	Phase 2	unapproved	Nc1cc[nH]c(=O)n1	
mesna	CIDs00000598	Phase 4	approved	O=S(=O)(O)CCS	
alanine	CIDs00000602	Phase 3	unapproved	CC(N)C(=O)O	
lactate	CIDs00000612	Phase 4	approved	CC(O)C(=O)O	G - GENITO URINARY SYSTEM AND SEX HORMONES
glyceraldehyde	CIDs00000670	Phase 4	approved	O=C(CO)CO	
DMSO	CIDs00000679	Phase 4	approved	C[S+](C)[O-]	G - GENITO URINARY SYSTEM AND SEX HORMONES | M - MUSCULO-SKELETAL SYSTEM
dopamine	CIDs00000681	Phase 4	approved	NCCc1ccc(O)c(O)c1	C - CARDIOVASCULAR SYSTEM
ethanol	CIDs00000702	Phase 4	approved	CCO	D - DERMATOLOGICALS | V - VARIOUS | V - VARIOUS
formalin	CIDs00000712	Phase 4	approved	C=O	
lindane	CIDs00000727	Phase 4	approved	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
glycine	CIDs00000750	Phase 4	approved	NCC(=O)O	B - BLOOD AND BLOOD FORMING ORGANS
glycerol	CIDs00000753	Phase 4	approved	OCC(O)CO	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
glycolic acid	CIDs00000757	Phase 2	unapproved	O=C(O)CO	
guanine	CIDs00000764	Phase 3	unapproved	Nc1nc2[nH]cnc2c(=O)[nH]1	
bicarbonate	CIDs00000767	Phase 3	unapproved	O=C(O)O	
histamine	CIDs00000774	Phase 4	approved	NCCc1c[nH]cn1	
hydrogen peroxide	CIDs00000784	Phase 4	approved	OO	A - ALIMENTARY TRACT AND METABOLISM | D - DERMATOLOGICALS | D - DERMATOLOGICALS | S - SENSORY ORGANS
quinol	CIDs00000785	Phase 4	approved	Oc1ccc(O)cc1	D - DERMATOLOGICALS
iodine	CIDs00000807	Phase 4	approved	II	D - DERMATOLOGICALS
lipoic acid	CIDs00000864	Phase 4	approved	O=C(O)CCCCC1CCSS1	A - ALIMENTARY TRACT AND METABOLISM
magnesium	CIDs00000888	Phase 3	unapproved	[MgH2]	
phytate	CIDs00000890	Phase 3	unapproved	O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O	
melatonin	CIDs00000896	Phase 4	approved	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	N - NERVOUS SYSTEM
naphthalene	CIDs00000931	Phase 1	unapproved	c1ccc2ccccc2c1	
vitamin B	CIDs00000936	Phase 4	approved	NC(=O)c1cccnc1	A - ALIMENTARY TRACT AND METABOLISM
niacin	CIDs00000937	Phase 4	approved	O=C(O)c1cccnc1	C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM
Nicorette	CIDs00000942	Phase 2	unapproved	CN1CCCC1c1cccnc1	
nitrate	CIDs00000943	Phase 3	unapproved	O=[N+]([O-])O	
nitrous oxide	CIDs00000948	Phase 4	approved	N#[N+][O-]	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
octanol	CIDs00000957	Phase 2	unapproved	CCCCCCCCO	
distilled water	CIDs00000961	Phase 4	approved	O	
orotic acid	CIDs00000967	Phase 2	unapproved	O=C(O)c1cc(=O)[nH]c(=O)[nH]1	
oxaloacetate	CIDs00000970	Phase 2	unapproved	O=C(O)CC(=O)C(=O)O	
oxygen	CIDs00000977	Phase 4	approved	O=O	V - VARIOUS
p-aminobenzoic acid	CIDs00000978	Phase 4	approved	Nc1ccc(C(=O)O)cc1	D - DERMATOLOGICALS
polyphosphate	CIDs00000983	Phase 3	unapproved	O=P(O)(O)OP(=O)(O)OP(=O)(O)O	
phenanthrene	CIDs00000995	Phase 1	unapproved	c1ccc2c(c1)ccc1ccccc12	
phenol	CIDs00000996	Phase 4	approved	Oc1ccccc1	R - RESPIRATORY SYSTEM | C - CARDIOVASCULAR SYSTEM | N - NERVOUS SYSTEM | D - DERMATOLOGICALS
phenylacetic acid	CIDs00000999	Phase 4	approved	O=C([O-])Cc1ccccc1.[Na+]	
phosphate	CIDs00001003	Phase 4	approved	O=P(O)(O)O	
ethanolamine phosphate	CIDs00001015	Phase 2	unapproved	NCCOP(=O)(O)O	
pyrophosphate	CIDs00001023	Phase 2	unapproved	O=P(O)(O)OP(=O)(O)O	
1,2-propanediol	CIDs00001030	Phase 3	unapproved	CC(O)CO	
propionate	CIDs00001032	Phase 2	unapproved	CCC(=O)O	
putrescine	CIDs00001045	Phase 3	unapproved	NCCCCN	
pyrazinamide	CIDs00001046	Phase 4	approved	NC(=O)c1cnccn1	J - ANTIINFECTIVES FOR SYSTEMIC USE
pyridoxal	CIDs00001050	Phase 3	unapproved	Cc1ncc(CO)c(C=O)c1O	
pyridoxal phosphate	CIDs00001051	Phase 3	unapproved	Cc1ncc(COP(=O)(O)O)c(C=O)c1O	
vitamin B complex	CIDs00001052	Phase 2	unapproved	Cc1ncc(CO)c(CN)c1O	
pyridoxine	CIDs00001054	Phase 4	approved	Cc1ncc(CO)c(CO)c1O	A - ALIMENTARY TRACT AND METABOLISM
pyrogallol	CIDs00001057	Phase 4	approved	Oc1cccc(O)c1O	
pyruvic acid	CIDs00001060	Phase 2	unapproved	CC(=O)C(=O)O	
thiosulfate	CIDs00001084	Phase 4	approved	O=S(=O)(O)S	V - VARIOUS
sarcosine	CIDs00001088	Phase 2	unapproved	CNCC(=O)O	
selenite	CIDs00001090	Phase 4	approved	O=[Se](O)O	
succinate	CIDs00001110	Phase 3	unapproved	O=C(O)CCC(=O)O	
sulphate	CIDs00001117	Phase 4	approved	O=S(=O)([O-])[O-].[Na+].[Na+]	
taurine	CIDs00001123	Phase 4	approved	NCCS(=O)(=O)O	
thiamine	CIDs00001130	Phase 4	approved	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	
toluene	CIDs00001140	Phase 2	unapproved	Cc1ccccc1	
uric acid	CIDs00001175	Phase 2	unapproved	Oc1nc(O)c2nc(O)[nH]c2n1	
lotion	CIDs00001176	Phase 4	approved	NC(N)=O	D - DERMATOLOGICALS | B - BLOOD AND BLOOD FORMING ORGANS | D - DERMATOLOGICALS
gallopamil	CIDs00001234	Phase 2	unapproved	COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC	C - CARDIOVASCULAR SYSTEM
menthol	CIDs00001254	Phase 4	approved	CC1CCC(C(C)C)C(O)C1	
m-chlorophenylpiperazine	CIDs00001355	Phase 2	unapproved	Clc1cccc(N2CCNCC2)c1	
2,4-dinitrophenol	CIDs00001493	Phase 2	unapproved	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1	
pyrithione	CIDs00001569	Phase 4	approved	On1ccccc1=S	
3,4-methylenedioxyamphetamine	CIDs00001614	Phase 1	unapproved	CC(N)Cc1ccc2c(c1)OCO2	
MDMA	CIDs00001615	Phase 3	unapproved	CNC(C)Cc1ccc2c(c1)OCO2	
homotaurine	CIDs00001646	Phase 3	unapproved	NCCCS(=O)(=O)O	
pleconaril	CIDs00001684	Phase 2	unapproved	Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1	J - ANTIINFECTIVES FOR SYSTEMIC USE
4-aminopyridine	CIDs00001727	Phase 4	approved	Nc1ccncc1	N - NERVOUS SYSTEM
phenytoin	CIDs00001775	Phase 4	approved	O=C1N=C(O)NC1(c1ccccc1)c1ccccc1	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
tacrine	CIDs00001935	Phase 4	approved	Nc1c2c(nc3ccccc13)CCCC2	N - NERVOUS SYSTEM
acebutolol	CIDs00001978	Phase 4	approved	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	C - CARDIOVASCULAR SYSTEM
aceclidine	CIDs00001979	Phase 2	unapproved	CC(=O)OC1CN2CCC1CC2	S - SENSORY ORGANS | S - SENSORY ORGANS
paracetamol	CIDs00001983	Phase 4	approved	CC(=O)Nc1ccc(O)cc1	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
acetazolamide	CIDs00001986	Phase 4	approved	CC(=O)Nc1nnc(S(N)(=O)=O)s1	S - SENSORY ORGANS
acetohexamide	CIDs00001989	Phase 4	approved	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	A - ALIMENTARY TRACT AND METABOLISM
acetohydroxamic acid	CIDs00001990	Phase 4	approved	CC(=O)NO	G - GENITO URINARY SYSTEM AND SEX HORMONES
methacholine	CIDs00001993	Phase 4	approved	CC(=O)OC(C)C[N+](C)(C)C	V - VARIOUS
acyclovir	CIDs00002022	Phase 4	approved	Nc1nc(O)c2ncn(COCCO)c2n1	J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS | D - DERMATOLOGICALS | D - DERMATOLOGICALS
albendazole	CIDs00002082	Phase 4	approved	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
salbutamol	CIDs00002083	Phase 4	approved	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
alendronate	CIDs00002088	Phase 4	approved	NCCCC(O)(P(=O)(O)O)P(=O)(O)O	M - MUSCULO-SKELETAL SYSTEM
alfuzosin	CIDs00002092	Phase 4	approved	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	G - GENITO URINARY SYSTEM AND SEX HORMONES
allopurinol	CIDs00002094	Phase 4	approved	O=c1ncnc2[nH][nH]cc1-2	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
alosetron	CIDs00002099	Phase 4	approved	Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O	A - ALIMENTARY TRACT AND METABOLISM
alprazolam	CIDs00002118	Phase 4	approved	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	N - NERVOUS SYSTEM
amantadine	CIDs00002130	Phase 4	approved	NC12CC3CC(CC(C3)C1)C2	N - NERVOUS SYSTEM
ambenonium	CIDs00002131	Phase 4	approved	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl	N - NERVOUS SYSTEM
ambroxol	CIDs00002132	Phase 3	unapproved	Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1	R - RESPIRATORY SYSTEM
Hypaque	CIDs00002140	Phase 4	approved	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	V - VARIOUS
amifostine	CIDs00002141	Phase 4	approved	NCCCNCCSP(=O)(O)O	V - VARIOUS
aminoguanidine	CIDs00002146	Phase 1	unapproved	NN=C(N)N	
p-aminohippurate	CIDs00002148	Phase 4	approved	Nc1ccc(C(=O)NCC(=O)O)cc1	V - VARIOUS
theophylline	CIDs00002153	Phase 4	approved	Cn1c(=O)c2nc[nH]c2n(C)c1=O	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
amiodarone	CIDs00002156	Phase 4	approved	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	C - CARDIOVASCULAR SYSTEM
amisulpride	CIDs00002159	Phase 4	approved	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	N - NERVOUS SYSTEM
amitriptyline	CIDs00002160	Phase 4	approved	CN(C)CCC=C1c2ccccc2CCc2ccccc21	N - NERVOUS SYSTEM
amlexanox	CIDs00002161	Phase 4	approved	CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1	A - ALIMENTARY TRACT AND METABOLISM | R - RESPIRATORY SYSTEM
amlodipine	CIDs00002162	Phase 4	approved	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	C - CARDIOVASCULAR SYSTEM
amobarbital	CIDs00002163	Phase 4	approved	CCC1(CCC(C)C)C(=O)N=C(O)NC1=O	N - NERVOUS SYSTEM
amodiaquine	CIDs00002165	Phase 4	approved	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
amoxapine	CIDs00002170	Phase 4	approved	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	N - NERVOUS SYSTEM
anisindione	CIDs00002197	Phase 4	approved	COc1ccc(C2C(=O)c3ccccc3C2=O)cc1	
antazoline	CIDs00002200	Phase 4	approved	c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
dithranol	CIDs00002202	Phase 4	approved	O=C1c2c(O)cccc2Cc2cccc(O)c21	D - DERMATOLOGICALS | D - DERMATOLOGICALS
antipyrine	CIDs00002206	Phase 4	approved	Cc1cc(=O)n(-c2ccccc2)n1C	N - NERVOUS SYSTEM | S - SENSORY ORGANS | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
apocynin	CIDs00002214	Phase 1	unapproved	COc1cc(C(C)=O)ccc1O	
apraclonidine	CIDs00002216	Phase 4	approved	Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1	S - SENSORY ORGANS
arotinolol	CIDs00002239	Phase 3	unapproved	CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1	
aspirin	CIDs00002244	Phase 4	approved	CC(=O)Oc1ccccc1C(=O)O	B - BLOOD AND BLOOD FORMING ORGANS | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | A - ALIMENTARY TRACT AND METABOLISM | N - NERVOUS SYSTEM
astemizole	CIDs00002247	Phase 4	approved	COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	R - RESPIRATORY SYSTEM
atenolol	CIDs00002249	Phase 4	approved	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	C - CARDIOVASCULAR SYSTEM
azathioprine	CIDs00002265	Phase 4	approved	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12	L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
azelaic acid	CIDs00002266	Phase 4	approved	O=C(O)CCCCCCCC(=O)O	D - DERMATOLOGICALS
azelastine	CIDs00002267	Phase 4	approved	CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS
azosemide	CIDs00002273	Phase 3	unapproved	NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl	
baclofen	CIDs00002284	Phase 4	approved	NCC(CC(=O)O)c1ccc(Cl)cc1	M - MUSCULO-SKELETAL SYSTEM
barbital	CIDs00002294	Phase 4	approved	CCC1(CC)C(=O)NC(=O)NC1=O	N - NERVOUS SYSTEM
bendrofluazide	CIDs00002315	Phase 4	approved	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O	C - CARDIOVASCULAR SYSTEM
benserazide	CIDs00002327	Phase 4	approved	NC(CO)C(=O)NNCc1ccc(O)c(O)c1O	
benzalkonium chloride	CIDs00002330	Phase 4	approved	CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1	D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS
benzbromarone	CIDs00002333	Phase 4	approved	CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1	M - MUSCULO-SKELETAL SYSTEM
benzocaine	CIDs00002337	Phase 4	approved	CCOC(=O)c1ccc(N)cc1	D - DERMATOLOGICALS | C - CARDIOVASCULAR SYSTEM | N - NERVOUS SYSTEM | R - RESPIRATORY SYSTEM
benzquinamide	CIDs00002342	Phase 4	approved	CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O	
benzthiazide	CIDs00002343	Phase 4	approved	NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O	
bepridil	CIDs00002351	Phase 4	approved	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	C - CARDIOVASCULAR SYSTEM
berberine	CIDs00002353	Phase 3	unapproved	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2	
bergapten	CIDs00002355	Phase 4	approved	COc1c2ccoc2cc2oc(=O)ccc12	D - DERMATOLOGICALS
betahistine	CIDs00002366	Phase 4	approved	CNCCc1ccccn1	N - NERVOUS SYSTEM
bethanidine	CIDs00002368	Phase 4	approved	C/N=C(\NC)NCc1ccccc1	C - CARDIOVASCULAR SYSTEM
betaxolol	CIDs00002369	Phase 4	approved	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM | S - SENSORY ORGANS
bethanechol	CIDs00002370	Phase 4	approved	CC(C[N+](C)(C)C)OC(N)=O	N - NERVOUS SYSTEM
bifonazole	CIDs00002378	Phase 4	approved	c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1	D - DERMATOLOGICALS | D - DERMATOLOGICALS
biperiden	CIDs00002381	Phase 4	approved	OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2	N - NERVOUS SYSTEM
lacO	CIDs00002391	Phase 4	approved	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
bisoprolol	CIDs00002405	Phase 4	approved	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	C - CARDIOVASCULAR SYSTEM
bithionol	CIDs00002406	Phase 4	approved	Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O	D - DERMATOLOGICALS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
bretylium	CIDs00002431	Phase 4	approved	CC[N+](C)(C)Cc1ccccc1Br	
brimonidine	CIDs00002435	Phase 4	approved	Brc1c(NC2=NCCN2)ccc2nccnc12	S - SENSORY ORGANS | S - SENSORY ORGANS | D - DERMATOLOGICALS
bromazepam	CIDs00002441	Phase 4	approved	O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	N - NERVOUS SYSTEM
bromodiphenhydramine	CIDs00002444	Phase 4	approved	CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1	R - RESPIRATORY SYSTEM
bromperidol	CIDs00002448	Phase 4	approved	O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1	N - NERVOUS SYSTEM
brotizolam	CIDs00002451	Phase 3	unapproved	Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2	N - NERVOUS SYSTEM
bumetanide	CIDs00002471	Phase 4	approved	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1	C - CARDIOVASCULAR SYSTEM
bunazosin	CIDs00002472	Phase 3	unapproved	CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1	
bupivacaine	CIDs00002474	Phase 4	approved	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
buspirone	CIDs00002477	Phase 4	approved	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1	N - NERVOUS SYSTEM
butabarbital	CIDs00002479	Phase 4	approved	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	
profundal	CIDs00002481	Phase 4	approved	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	
butenafine	CIDs00002484	Phase 4	approved	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12	D - DERMATOLOGICALS
caffeine	CIDs00002519	Phase 4	approved	Cn1c(=O)c2c(ncn2C)n(C)c1=O	N - NERVOUS SYSTEM | D - DERMATOLOGICALS
verapamil	CIDs00002520	Phase 4	approved	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM
camostate	CIDs00002536	Phase 3	unapproved	CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1	B - BLOOD AND BLOOD FORMING ORGANS
candesartan cilexetil	CIDs00002540	Phase 4	approved	CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1	C - CARDIOVASCULAR SYSTEM
candesartan	CIDs00002541	Phase 3	unapproved	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	C - CARDIOVASCULAR SYSTEM
cannabinol	CIDs00002543	Phase 3	unapproved	CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2	
carbachol	CIDs00002551	Phase 4	approved	C[N+](C)(C)CCOC(N)=O	
carbamazepine	CIDs00002554	Phase 4	approved	NC(=O)N1c2ccccc2C=Cc2ccccc21	N - NERVOUS SYSTEM
carbetapentane	CIDs00002562	Phase 4	approved	CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	R - RESPIRATORY SYSTEM
carbinoxamine	CIDs00002564	Phase 4	approved	CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1	R - RESPIRATORY SYSTEM
carisoprodol	CIDs00002576	Phase 4	approved	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
carprofen	CIDs00002581	Phase 4	approved	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12	
carteolol	CIDs00002583	Phase 4	approved	CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2	S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM | S - SENSORY ORGANS
carvedilol	CIDs00002585	Phase 4	approved	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	C - CARDIOVASCULAR SYSTEM
celiprolol	CIDs00002663	Phase 4	approved	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	C - CARDIOVASCULAR SYSTEM
cetirizine	CIDs00002678	Phase 4	approved	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	R - RESPIRATORY SYSTEM
hexadecanol	CIDs00002682	Phase 4	approved	CCCCCCCCCCCCCCCCO	
cetylpyridinium chloride	CIDs00002683	Phase 4	approved	CCCCCCCCCCCCCCCC[n+]1ccccc1	D - DERMATOLOGICALS | B - BLOOD AND BLOOD FORMING ORGANS | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM
chloral hydrate	CIDs00002707	Phase 4	approved	OC(O)C(Cl)(Cl)Cl	N - NERVOUS SYSTEM
chlorcyclizine	CIDs00002710	Phase 1	unapproved	CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	R - RESPIRATORY SYSTEM
chlordiazepoxide	CIDs00002712	Phase 4	approved	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	N - NERVOUS SYSTEM
chlormezanone	CIDs00002717	Phase 4	approved	CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
